_id,continente,pais,poblacion,costo_bajo_hospedaje,costo_promedio_comida,costo_bajo_transporte,costo_promedio_entretenimiento
67e213cec29aa80afae47e87,Asia,Indonesia,273523615,28,60,11,40
67e213cec29aa80afae47e95,Asia,Turquía,84339067,28,35,48,36
67e21472c29aa80afae47e9b,América,El Salvador,6486205,28,60,30,23
67e21472c29aa80afae47e9f,América,Cuba,11326616,28,57,26,31
67e21472c29aa80afae47ea8,América,Argentina,45195774,28,43,14,34
67e211ddc29aa80afae47e60,Europa,Romania,19121610,28.08,27,15.12,22.68
67e2130bc29aa80afae47e70,África,Kenia,53771296,29,22,22,34
67e211ddc29aa80afae47e66,Europa,Spain,47351567,29.16,45.36,9.72,32.4
67e21472c29aa80afae47e9e,América,Panamá,4314767,30,70,47,37
67e2130bc29aa80afae47e72,África,Argelia,43851044,31,41,28,28
67e21472c29aa80afae47ea3,América,Ecuador,17643060,31,48,29,59
67e211ddc29aa80afae47e5f,Europa,Portugal,10295909,32.4,27,15.12,15.12
67e211ddc29aa80afae47e4d,Europa,Greece,10724599,32.4,22.68,6.48,10.8
67e211ddc29aa80afae47e63,Europa,Serbia,6640000,32.4,33.48,11.88,29.16
67e211ddc29aa80afae47e54,Europa,Liechtenstein,38910,32.4,22.68,10.8,19.44
67e213cec29aa80afae47e8c,Asia,Singapur,5850342,33,24,14,46
67e211ddc29aa80afae47e41,Europa,Belarus,9398861,34.56,54,14.04,23.76
67e211ddc29aa80afae47e67,Europa,Sweden,10327589,34.56,24.84,9.72,27
67e213cec29aa80afae47e8f,Asia,Kazajistán,18776707,35,33,41,60
67e211ddc29aa80afae47e5e,Europa,Poland,38386000,35.64,46.44,5.4,20.52
67e211ddc29aa80afae47e64,Europa,Slovakia,5458827,35.64,25.92,14.04,19.44
67e211ddc29aa80afae47e57,Europa,Malta,514564,36.72,47.52,14.04,24.84
67e211ddc29aa80afae47e69,Europa,Ukraine,41415000,36.72,45.36,5.4,32.4
67e21472c29aa80afae47eaa,América,Brasil,212559417,37,20,23,48
67e21472c29aa80afae47ea0,América,República Dominicana,10847910,37,31,21,29
67e211ddc29aa80afae47e40,Europa,Austria,8917205,37.8,37.8,8.64,30.24
67e213cec29aa80afae47e8e,Asia,Bangladés,164689383,39,61,46,36
67e21472c29aa80afae47ea5,América,Bolivia,11673029,39,70,47,53
67e21472c29aa80afae47ea9,América,Chile,19116201,39,47,51,58
67e211ddc29aa80afae47e46,Europa,Cyprus,1207359,39.96,45.36,9.72,12.96
67e211ddc29aa80afae47e55,Europa,Lithuania,2794700,39.96,35.64,9.72,27
67e211ddc29aa80afae47e59,Europa,Monaco,39242,39.96,17.28,12.96,20.52
67e211ddc29aa80afae47e4f,Europa,Iceland,372520,39.96,17.28,9.72,10.8
67e211ddc29aa80afae47e51,Europa,Italy,59554023,41.04,19.44,9.72,32.4
67e21472c29aa80afae47e9c,América,Honduras,9904608,42,33,27,36
67e211ddc29aa80afae47e45,Europa,Croatia,3854279,43.2,47.52,15.12,18.36
67e211ddc29aa80afae47e5c,Europa,North Macedonia,2083821,44.28,42.12,9.72,22.68
67e211ddc29aa80afae47e4b,Europa,France,67391582,45.36,28.08,4.32,23.76
67e211ddc29aa80afae47e4e,Europa,Hungary,9606259,45.36,21.6,11.88,19.44
67e21472c29aa80afae47e99,América,México,128932753,46,57,30,37
67e211ddc29aa80afae47e53,Europa,Latvia,1867231,47.52,52.92,4.32,10.8
67e213cec29aa80afae47e92,Asia,Israel,8655535,48,15,30,27
67e211ddc29aa80afae47e4c,Europa,Germany,83149300,48.6,16.2,7.56,30.24
67e213cec29aa80afae47e84,Asia,India,1380004385,49,60,14,38
67e21472c29aa80afae47e98,América,Canadá,37742154,49,74,23,40
67e213cec29aa80afae47e89,Asia,Vietnam,97338579,49,43,13,40
67e211ddc29aa80afae47e5a,Europa,Montenegro,621718,50.76,35.64,4.32,10.8
67e211ddc29aa80afae47e49,Europa,Estonia,1326535,51.84,37.8,11.88,25.92
67e211ddc29aa80afae47e52,Europa,Kosovo,1800000,52.92,45.36,11.88,17.28
67e211ddc29aa80afae47e6b,Europa,Vatican City,825,54,49.68,7.56,14.04
67e211ddc29aa80afae47e61,Europa,Russia,144104080,55.08,16.2,7.56,15.12
67e211ddc29aa80afae47e42,Europa,Belgium,11589623,55.08,16.2,4.32,14.04
67e211ddc29aa80afae47e43,Europa,Bosnia and Herzegovina,3280819,55.08,27,4.32,28.08
67e211ddc29aa80afae47e4a,Europa,Finland,5540720,56.16,16.2,6.48,19.44
67e211ddc29aa80afae47e3e,Europa,Albania,2877797,58.32,43.2,5.4,20.52
67e211ddc29aa80afae47e44,Europa,Bulgaria,6844597,58.32,47.52,5.4,21.6
67e211ddc29aa80afae47e5b,Europa,Netherlands,17441139,59.4,37.8,4.32,17.28
67e211ddc29aa80afae47e50,Europa,Ireland,4994724,59.4,50.76,11.88,17.28
67e211ddc29aa80afae47e5d,Europa,Norway,5421241,65.88,22.68,8.64,29.16
